temperature_C,vfb_V
-40,1.22595000
-35,1.22595000
-30,1.22596000
-25,1.22596000
-20,1.22597000
-15,1.22597000
-10,1.22598000
-5,1.22598000
0,1.22599000
5,1.22599000
10,1.22599000
15,1.22600000
20,1.22600000
25,1.22600000
30,1.22600000
35,1.22601000
40,1.22601000
45,1.22601000
50,1.22601000
55,1.22601000
60,1.22601000
65,1.22601000
70,1.22601000
75,1.22601000
80,1.22601000
85,1.22601000
90,1.22600000
95,1.22600000
100,1.22600000
105,1.22599000
110,1.22599000
115,1.22599000
120,1.22598000
125,1.22598000
130,1.22597000
135,1.22596000
140,1.22596000
145,1.22595000
150,1.22594000
