 time            v(bvdd)         v(bypass_en)    v(ea_en)        v(ref_sel)      v(uvov_en)      v(ilim_en)      v(pass_off)    
 1.00000000e-10  1.00000000e-04  5.22810850e+00  5.34788345e+00  5.10703055e+00  4.52972688e+00  4.52972688e+00  4.76230778e+00 
 1.01620803e-10  1.01620803e-04  5.23625244e+00  5.35136731e+00  5.12155680e+00  4.54481848e+00  4.54481848e+00  4.77200976e+00 
 1.04862409e-10  1.04862409e-04  5.25086967e+00  5.35926624e+00  5.14430059e+00  4.57128956e+00  4.57128956e+00  4.79014431e+00 
 1.06896931e-10  1.06896931e-04  5.25907765e+00  5.36440964e+00  5.15585075e+00  4.58522345e+00  4.58522345e+00  4.80007082e+00 
 1.10202961e-10  1.10202961e-04  5.27045874e+00  5.37193922e+00  5.17146472e+00  4.60366926e+00  4.60366926e+00  4.81362305e+00 
 1.13607386e-10  1.13607386e-04  5.27966438e+00  5.37827550e+00  5.18382972e+00  4.61798789e+00  4.61798789e+00  4.82451333e+00 
 1.20416236e-10  1.20416236e-04  5.29187102e+00  5.38694008e+00  5.19987265e+00  4.63631076e+00  4.63631076e+00  4.83888458e+00 
 1.28183826e-10  1.28183826e-04  5.29836788e+00  5.39168223e+00  5.20840996e+00  4.64591893e+00  4.64591893e+00  4.84653324e+00 
 1.38394707e-10  1.38394707e-04  5.29959541e+00  5.39258424e+00  5.21062157e+00  4.64842341e+00  4.64842341e+00  4.84814118e+00 
 1.50821812e-10  1.50821812e-04  5.29531974e+00  5.38916586e+00  5.20686293e+00  4.64424729e+00  4.64424729e+00  4.84369980e+00 
 1.67885035e-10  1.67885035e-04  5.28556135e+00  5.38111485e+00  5.19784347e+00  4.63421359e+00  4.63421359e+00  4.83357507e+00 
 1.92756824e-10  1.92756824e-04  5.26938166e+00  5.36736801e+00  5.18294105e+00  4.61788967e+00  4.61788967e+00  4.81717466e+00 
 2.39868046e-10  2.39868046e-04  5.23816247e+00  5.34027430e+00  5.15408774e+00  4.58683723e+00  4.58683723e+00  4.78631113e+00 
 3.15458747e-10  3.15458747e-04  5.18761921e+00  5.29609885e+00  5.10696702e+00  4.53558538e+00  4.53558538e+00  4.73692284e+00 
 4.07701951e-10  4.07701951e-04  5.12477253e+00  5.24124902e+00  5.04815327e+00  4.46735942e+00  4.46735942e+00  4.67505196e+00 
 5.44529677e-10  5.44529677e-04  5.02898484e+00  5.15812481e+00  4.96225288e+00  4.34009541e+00  4.34009541e+00  4.57667505e+00 
 6.45283092e-10  6.45283092e-04  4.95949231e+00  5.09540551e+00  4.90128217e+00  4.15256341e+00  4.15256341e+00  4.49391083e+00 
 7.31651640e-10  7.31651640e-04  4.90092568e+00  5.04029749e+00  4.84842776e+00  3.38677187e+00  3.38677187e+00  4.40597172e+00 
 8.22149428e-10  8.22149428e-04  4.83813669e+00  4.98234807e+00  4.79149855e+00  2.15686783e+00  2.15686783e+00  4.25194843e+00 
 8.93798699e-10  8.93798699e-04  4.78647413e+00  4.93807036e+00  4.74476357e+00  1.65212864e+00  1.65212864e+00  3.73738890e+00 
 9.74734848e-10  9.74734848e-04  4.72481470e+00  4.88719908e+00  4.68909225e+00  1.46257898e+00  1.46257898e+00  2.49286394e+00 
 1.02652949e-09  1.02652949e-03  4.68253558e+00  4.85359653e+00  4.65098081e+00  1.38460833e+00  1.38460833e+00  1.86081866e+00 
 1.09834364e-09  1.09834364e-03  4.61769183e+00  4.80505060e+00  4.59270314e+00  1.29737445e+00  1.29737445e+00  1.56635215e+00 
 1.16917226e-09  1.16917226e-03  4.53953782e+00  4.75404009e+00  4.52325277e+00  1.22513124e+00  1.22513124e+00  1.42800736e+00 
 1.25326861e-09  1.25326861e-03  4.37552059e+00  4.68677151e+00  4.38993895e+00  1.15061247e+00  1.15061247e+00  1.31058894e+00 
 1.31511459e-09  1.31511459e-03  3.72559571e+00  4.62863151e+00  4.00763793e+00  1.10143129e+00  1.10143129e+00  1.23933684e+00 
 1.38238138e-09  1.38238138e-03  2.43936405e+00  4.54443168e+00  2.95363929e+00  1.05212616e+00  1.05212616e+00  1.17073034e+00 
 1.42886798e-09  1.42886798e-03  1.88479396e+00  4.44135199e+00  2.23103107e+00  1.02019328e+00  1.02019328e+00  1.12734558e+00 
 1.48502177e-09  1.48502177e-03  1.65960577e+00  3.90998899e+00  1.80658973e+00  9.83712794e-01  9.83712794e-01  1.07842642e+00 
 1.54220038e-09  1.54220038e-03  1.53057327e+00  2.83341364e+00  1.64117004e+00  9.48601053e-01  9.48601053e-01  1.03190021e+00 
 1.58616914e-09  1.58616914e-03  1.45356475e+00  2.12284030e+00  1.55656579e+00  9.22786615e-01  9.22786615e-01  9.98063655e-01 
 1.64037089e-09  1.64037089e-03  1.37250178e+00  1.79457461e+00  1.47291741e+00  8.92276570e-01  8.92276570e-01  9.58392851e-01 
 1.69859056e-09  1.69859056e-03  1.29647012e+00  1.63859003e+00  1.39760777e+00  8.61032834e-01  8.61032834e-01  9.18023464e-01 
 1.76396897e-09  1.76396897e-03  1.22044115e+00  1.51811787e+00  1.32430377e+00  8.27671216e-01  8.27671216e-01  8.75161000e-01 
