 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 1.00000000e-09  1.00000000e-03  1.00000000e-09  1.82052192e-04  1.00000000e-09  7.86538095e-04  1.00000000e-09 -2.31157951e-03  1.00000000e-09  6.73254120e-04  1.00000000e-09  7.11591839e-06 
 1.02794806e-09  1.02794806e-03  1.02794806e-09  1.84236504e-04  1.02794806e-09  8.07818414e-04  1.02794806e-09 -2.35783968e-03  1.02794806e-09  6.92122575e-04  1.02794806e-09  7.31627356e-06 
 1.08384417e-09  1.08384417e-03  1.08384417e-09  1.86125732e-04  1.08384417e-09  8.49817839e-04  1.08384417e-09 -2.41339013e-03  1.08384417e-09  7.29890498e-04  1.08384417e-09  7.71840750e-06 
 1.19563640e-09  1.19563640e-03  1.19563640e-09  1.85777761e-04  1.19563640e-09  9.32912678e-04  1.19563640e-09 -2.47116946e-03  1.19563640e-09  8.05487113e-04  1.19563640e-09  8.52500606e-06 
 1.41922086e-09  1.41922086e-03  1.41922086e-09  1.85875577e-04  1.41922086e-09  1.09945398e-03  1.41922086e-09 -2.43353737e-03  1.41922086e-09  9.56951371e-04  1.41922086e-09  1.01490052e-05 
 1.72904794e-09  1.72904794e-03  1.72904794e-09  1.85671072e-04  1.72904794e-09  1.33049843e-03  1.72904794e-09 -2.21241678e-03  1.72904794e-09  1.16726073e-03  1.72904794e-09  1.24156626e-05 
 2.34870212e-09  2.34870212e-03  2.34870212e-09  1.85588240e-04  2.34870212e-09  1.79376256e-03  2.34870212e-09 -1.67470547e-03  2.34870212e-09  1.58886356e-03  2.34870212e-09  1.69840304e-05 
 3.58801047e-09  3.58801047e-03  3.58801047e-09  1.85162853e-04  3.58801047e-09  2.72437557e-03  3.58801047e-09 -8.45475060e-04  3.58801047e-09  2.43522036e-03  3.58801047e-09  2.62184537e-05 
 6.06662718e-09  6.06662718e-03  6.06662718e-09  1.84580453e-04  6.06662718e-09  4.60113975e-03  6.06662718e-09 -1.11928756e-04  6.06662718e-09  4.13934624e-03  6.06662718e-09  4.49784276e-05 
 1.10238606e-08  1.10238606e-02  1.10238606e-08  1.83209853e-04  1.10238606e-08  8.41028759e-03  1.10238606e-08  1.13267859e-04  1.10238606e-08  7.58731627e-03  1.10238606e-08  8.32805847e-05 
 1.81746852e-08  1.81746852e-02  1.81746852e-08  1.81443969e-04  1.81746852e-08  1.40191366e-02  1.81746852e-08  8.14621375e-05  1.81746852e-08  1.26319424e-02  1.81746852e-08  1.39587456e-04 
 3.05808829e-08  3.05808829e-02  3.05808829e-08  1.78216671e-04  3.05808829e-08  2.40207644e-02  3.05808829e-08  8.96129294e-05  3.05808829e-08  2.15090375e-02  3.05808829e-08  2.38732494e-04 
 5.53932784e-08  5.53932784e-02  5.53932784e-08  1.72153872e-04  5.53932784e-08  4.48596226e-02  5.53932784e-08  7.97581985e-05  5.53932784e-08  3.94981478e-02  5.53932784e-08  4.39346087e-04 
 1.00000000e-07  1.00000000e-01  1.00000000e-07  1.61544415e-04  1.00000000e-07  8.44088045e-02  1.00000000e-07  7.95499914e-05  1.00000000e-07  7.21629135e-02  1.00000000e-07  7.98098720e-04 
 1.04962479e-07  1.04962479e-01  1.04962479e-07  1.60450666e-04  1.04962479e-07  8.89592033e-02  1.04962479e-07  7.64383823e-05  1.04962479e-07  7.58124106e-02  1.04962479e-07  8.37310233e-04 
 1.14887437e-07  1.14887437e-01  1.14887437e-07  1.58202329e-04  1.14887437e-07  9.81007246e-02  1.14887437e-07  7.43042595e-05  1.14887437e-07  8.31199218e-02  1.14887437e-07  9.15124225e-04 
 1.34737354e-07  1.34737354e-01  1.34737354e-07  1.53783106e-04  1.34737354e-07  1.16603772e-01  1.34737354e-07  7.14194001e-05  1.34737354e-07  9.77665050e-02  1.34737354e-07  1.06630721e-03 
 1.74437186e-07  1.74437186e-01  1.74437186e-07  1.45239494e-04  1.74437186e-07  1.54305033e-01  1.74437186e-07  6.45957386e-05  1.74437186e-07  1.27187415e-01  1.74437186e-07  1.34634204e-03 
 2.53836852e-07  2.53836852e-01  2.53836852e-07  1.29207559e-04  2.53836852e-07  2.31485256e-01  2.53836852e-07  5.14226185e-05  2.53836852e-07  1.86596944e-01  2.53836852e-07  1.80748853e-03 
 3.53836852e-07  3.53836852e-01  3.53836852e-07  1.10793076e-04  3.53836852e-07  3.30459977e-01  3.53836852e-07  3.49605052e-05  3.53836852e-07  2.62705374e-01  3.53836852e-07  2.21787807e-03 
 4.53836852e-07  4.53836852e-01  4.53836852e-07  9.41234387e-05  4.53836852e-07  4.30193652e-01  4.53836852e-07  2.02909094e-05  4.53836852e-07  3.40225978e-01  4.53836852e-07  2.48321278e-03 
 5.53836852e-07  5.53836852e-01  5.53836852e-07  7.90099952e-05  5.53836852e-07  5.30158450e-01  5.53836852e-07  6.76498591e-06  5.53836852e-07  4.17544731e-01  5.53836852e-07  2.65104288e-03 
 6.53836852e-07  6.53836852e-01  6.53836852e-07  6.52992224e-05  6.53836852e-07  6.30188234e-01  6.53836852e-07 -4.54424199e-06  6.53836852e-07  4.88326161e-01  6.53836852e-07  2.75614033e-03 
 7.53836852e-07  7.53836852e-01  7.53836852e-07  5.28597236e-05  7.53836852e-07  7.30231780e-01  7.53836852e-07 -1.46579827e-05  7.53836852e-07  5.35890340e-01  7.53836852e-07  2.82162719e-03 
