 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 1.00000000e-09  1.00000000e-03  1.00000000e-09  1.82232934e-04  1.00000000e-09  7.87486096e-04  1.00000000e-09 -2.31143046e-03  1.00000000e-09  6.73689811e-04  1.00000000e-09  7.11596419e-06 
 1.02794806e-09  1.02794806e-03  1.02794806e-09  1.84422358e-04  1.02794806e-09  8.08792621e-04  1.02794806e-09 -2.35768640e-03  1.02794806e-09  6.92570332e-04  1.02794806e-09  7.31632066e-06 
 1.08384417e-09  1.08384417e-03  1.08384417e-09  1.86321862e-04  1.08384417e-09  8.50844288e-04  1.08384417e-09 -2.41322827e-03  1.08384417e-09  7.30362311e-04  1.08384417e-09  7.71845722e-06 
 1.19563641e-09  1.19563641e-03  1.19563641e-09  1.85994529e-04  1.19563641e-09  9.34043245e-04  1.19563641e-09 -2.47098997e-03  1.19563641e-09  8.06006910e-04  1.19563641e-09  8.52506107e-06 
 1.41922087e-09  1.41922087e-03  1.41922087e-09  1.86133593e-04  1.41922087e-09  1.10079250e-03  1.41922087e-09 -2.43332136e-03  1.41922087e-09  9.57567227e-04  1.41922087e-09  1.01490709e-05 
 1.72904792e-09  1.72904792e-03  1.72904792e-09  1.85986230e-04  1.72904792e-09  1.33212422e-03  1.72904792e-09 -2.21214841e-03  1.72904792e-09  1.16800975e-03  1.72904792e-09  1.24157426e-05 
 2.34870203e-09  2.34870203e-03  2.34870203e-09  1.86017592e-04  2.34870203e-09  1.79595973e-03  2.34870203e-09 -1.67432913e-03  2.34870203e-09  1.58987911e-03  2.34870203e-09  1.69841395e-05 
 3.58801023e-09  3.58801023e-03  3.58801023e-09  1.85820282e-04  3.58801023e-09  2.72770260e-03  3.58801023e-09 -8.44876064e-04  3.58801023e-09  2.43676950e-03  3.58801023e-09  2.62186210e-05 
 6.06662664e-09  6.06662664e-03  6.06662664e-09  1.85692794e-04  6.06662664e-09  4.60667627e-03  6.06662664e-09 -1.10876265e-04  6.06662664e-09  4.14196434e-03  6.06662664e-09  4.49787118e-05 
 1.10238595e-08  1.10238595e-02  1.10238595e-08  1.85227196e-04  1.10238595e-08  8.42005163e-03  1.10238595e-08  1.15087009e-04  1.10238595e-08  7.59207732e-03  1.10238595e-08  8.32810976e-05 
 1.81744799e-08  1.81744799e-02  1.81744799e-08  1.84755669e-04  1.81744799e-08  1.40344165e-02  1.81744799e-08  8.48313464e-05  1.81744799e-08  1.26396569e-02  1.81744799e-08  1.39586704e-04 
 3.05823396e-08  3.05823396e-02  3.05823396e-08  1.83743022e-04  3.05823396e-08  2.40461885e-02  3.05823396e-08  9.47838862e-05  3.05823396e-08  2.15233322e-02  3.05823396e-08  2.38745664e-04 
 5.53980591e-08  5.53980591e-02  5.53980591e-08  1.81995008e-04  5.53980591e-08  4.49021553e-02  5.53980591e-08  8.95054827e-05  5.53980591e-08  3.95257441e-02  5.53980591e-08  4.39387560e-04 
 1.00000000e-07  1.00000000e-01  1.00000000e-07  1.78773875e-04  1.00000000e-07  8.44652601e-02  1.00000000e-07  9.65153183e-05  1.00000000e-07  7.22072409e-02  1.00000000e-07  7.98104030e-04 
 1.04963144e-07  1.04963144e-01  1.04963144e-07  1.78470442e-04  1.04963144e-07  8.90175488e-02  1.04963144e-07  9.41978928e-05  1.04963144e-07  7.58595432e-02  1.04963144e-07  8.37321006e-04 
 1.14889432e-07  1.14889432e-01  1.14889432e-07  1.77791659e-04  1.14889432e-07  9.81627036e-02  1.14889432e-07  9.36653515e-05  1.14889432e-07  8.31727192e-02  1.14889432e-07  9.15145746e-04 
