 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_en)       
 1.00000000e-10  1.20000000e-03  1.00000000e-10  1.44379091e-03  1.00000000e-10  1.03969247e-03  1.00000000e-10  2.12643306e-03 
 1.02724264e-10  1.23269116e-03  1.02724264e-10  1.47828247e-03  1.02724264e-10  1.05657005e-03  1.02724264e-10  2.17908305e-03 
 1.08172791e-10  1.29807349e-03  1.08172791e-10  1.53909540e-03  1.08172791e-10  1.10877182e-03  1.08172791e-10  2.28613440e-03 
 1.19069845e-10  1.42883815e-03  1.19069845e-10  1.62312165e-03  1.19069845e-10  1.21417347e-03  1.19069845e-10  2.48233996e-03 
 1.40863955e-10  1.69036745e-03  1.40863955e-10  1.70636061e-03  1.40863955e-10  1.39590210e-03  1.40863955e-10  2.83650666e-03 
 1.76806716e-10  2.12168060e-03  1.76806716e-10  1.74332206e-03  1.76806716e-10  1.66314699e-03  1.76806716e-10  3.37379979e-03 
 2.32547130e-10  2.79056556e-03  2.32547130e-10  1.74762618e-03  2.32547130e-10  2.07299018e-03  2.32547130e-10  4.18013250e-03 
 3.11876207e-10  3.74251449e-03  3.11876207e-10  1.74726739e-03  3.11876207e-10  2.65361782e-03  3.11876207e-10  5.32419905e-03 
 4.70534362e-10  5.64641235e-03  4.70534362e-10  1.74804025e-03  4.70534362e-10  3.79290588e-03  4.70534362e-10  7.61770778e-03 
 7.87850672e-10  9.45420806e-03  7.87850672e-10  1.74903200e-03  7.87850672e-10  5.98688285e-03  7.87850672e-10  1.22247587e-02 
 1.42248329e-09  1.70697995e-02  1.42248329e-09  1.75170329e-03  1.42248329e-09  1.00572888e-02  1.42248329e-09  2.15062767e-02 
 2.69174853e-09  3.23009824e-02  2.69174853e-09  1.75734679e-03  2.69174853e-09  1.69454569e-02  2.69174853e-09  4.02304141e-02 
 5.23027901e-09  6.27633481e-02  5.23027901e-09  1.77180214e-03  5.23027901e-09  2.69872838e-02  5.23027901e-09  7.79255810e-02 
 9.14834842e-09  1.09780181e-01  9.14834842e-09  1.79857904e-03  9.14834842e-09  3.61399118e-02  9.14834842e-09  1.35765043e-01 
 1.00000000e-08  1.20000000e-01  1.00000000e-08  1.80504521e-03  1.00000000e-08  3.73558485e-02  1.00000000e-08  1.48177546e-01 
