 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 1.00000000e-09  1.20000000e-02  1.00000000e-09  1.82586655e-04  1.00000000e-09  9.03059391e-03  1.00000000e-09 -2.22563313e-03  1.00000000e-09  7.90900806e-03  1.00000000e-09  7.11935663e-06 
 1.02794807e-09  1.23353768e-02  1.02794807e-09  1.84785869e-04  1.02794807e-09  9.28363929e-03  1.02794807e-09 -2.27089084e-03  1.02794807e-09  8.13388816e-03  1.02794807e-09  7.31975241e-06 
 1.08384421e-09  1.30061305e-02  1.08384421e-09  1.86704948e-04  1.08384421e-09  9.78921660e-03  1.08384421e-09 -2.32716733e-03  1.08384421e-09  8.58428145e-03  1.08384421e-09  7.72186348e-06 
 1.19563649e-09  1.43476379e-02  1.19563649e-09  1.86416736e-04  1.19563649e-09  1.08001421e-02  1.19563649e-09 -2.38944376e-03  1.19563649e-09  9.48707166e-03  1.19563649e-09  8.52830255e-06 
 1.41922106e-09  1.70306527e-02  1.41922106e-09  1.86633924e-04  1.41922106e-09  1.28247586e-02  1.41922106e-09 -2.36536003e-03  1.41922106e-09  1.13005150e-02  1.41922106e-09  1.01518101e-05 
 1.72904814e-09  2.07485777e-02  1.72904814e-09  1.86594570e-04  1.72904814e-09  1.56351862e-02  1.72904814e-09 -2.16085301e-03  1.72904814e-09  1.38273632e-02  1.72904814e-09  1.24178726e-05 
 2.34870231e-09  2.81844277e-02  2.34870231e-09  1.86841301e-04  2.34870231e-09  2.12703888e-02  2.34870231e-09 -1.63605237e-03  2.34870231e-09  1.89159071e-02  2.34870231e-09  1.69858308e-05 
 3.58801064e-09  4.30561277e-02  3.58801064e-09  1.87073330e-04  3.58801064e-09  3.25858828e-02  3.58801064e-09 -8.01593337e-04  3.58801064e-09  2.91790659e-02  3.58801064e-09  2.62206423e-05 
 6.06662730e-09  7.27995276e-02  6.06662730e-09  1.87802345e-04  6.06662730e-09  5.53610604e-02  6.06662730e-09 -5.26843058e-05  6.06662730e-09  4.98718084e-02  6.06662730e-09  4.49816145e-05 
 1.10238606e-08  1.32286328e-01  1.10238606e-08  1.89046010e-04  1.10238606e-08  1.01409802e-01  1.10238606e-08  1.77604762e-04  1.10238606e-08  9.15424199e-02  1.10238606e-08  8.32848847e-05 
 1.81401357e-08  2.17681628e-01  1.81401357e-08  1.91025523e-04  1.81401357e-08  1.68598578e-01  1.81401357e-08  1.55123919e-04  1.81401357e-08  1.51836889e-01  1.81401357e-08  1.39319734e-04 
 3.04797525e-08  3.65757030e-01  3.04797525e-08  1.94248720e-04  3.04797525e-08  2.87936674e-01  3.04797525e-08  1.68335669e-04  3.04797525e-08  2.58153210e-01  3.04797525e-08  2.37929947e-04 
 5.51589861e-08  6.61907833e-01  5.51589861e-08  2.00919838e-04  5.51589861e-08  5.36158339e-01  5.51589861e-08  1.75388548e-04  5.51589861e-08  4.80888359e-01  5.51589861e-08  4.37467566e-04 
 8.86423134e-08  1.06370776e+00  8.86423134e-08  2.09892399e-04  8.86423134e-08  8.89821242e-01  8.86423134e-08  2.33854949e-04  8.86423134e-08  7.36225461e-01  8.86423134e-08  7.08272379e-04 
 1.00000000e-07  1.20000000e+00  1.00000000e-07  2.13263636e-04  1.00000000e-07  1.01356712e+00  1.00000000e-07  3.79306719e-04  1.00000000e-07  7.24381210e-01  1.00000000e-07  7.99173208e-04 
 1.00696375e-07  1.20835650e+00  1.00696375e-07  2.13444749e-04  1.00696375e-07  1.02121108e+00  1.00696375e-07  3.94433757e-04  1.00696375e-07  7.17432994e-01  1.00696375e-07  8.04709006e-04 
 1.02089126e-07  1.22506951e+00  1.02089126e-07  2.13883545e-04  1.02089126e-07  1.03651059e+00  1.02089126e-07  4.28083804e-04  1.02089126e-07  6.99802478e-01  1.02089126e-07  8.15771046e-04 
 1.04874628e-07  1.25849553e+00  1.04874628e-07  2.14815008e-04  1.04874628e-07  1.06717707e+00  1.04874628e-07  5.16311094e-04  1.04874628e-07  6.37936481e-01  1.04874628e-07  8.37833099e-04 
 1.10445631e-07  1.32534757e+00  1.10445631e-07  2.16931890e-04  1.10445631e-07  1.12876818e+00  1.10445631e-07  7.52536084e-04  1.10445631e-07  3.90657923e-01  1.10445631e-07  8.81685487e-04 
 1.17444566e-07  1.40933479e+00  1.17444566e-07  2.20238004e-04  1.17444566e-07  1.20653755e+00  1.17444566e-07  1.18585458e-03  1.17444566e-07  7.34787735e-02  1.17444566e-07  9.36207713e-04 
 1.24969727e-07  1.49963672e+00  1.24969727e-07  2.24423272e-04  1.24969727e-07  1.28523685e+00  1.24969727e-07  1.57592035e-03  1.24969727e-07  1.47499852e+00  1.24969727e-07  9.94098780e-04 
 1.30434048e-07  1.56520858e+00  1.30434048e-07  2.27533849e-04  1.30434048e-07  1.34471449e+00  1.30434048e-07  1.42641280e-03  1.30434048e-07  1.58084133e+00  1.30434048e-07  1.03573196e-03 
 1.36220060e-07  1.63464072e+00  1.36220060e-07  2.29934592e-04  1.36220060e-07  1.41054983e+00  1.36220060e-07  6.49818478e-04  1.36220060e-07  1.61982815e+00  1.36220060e-07  1.07956800e-03 
 1.40436600e-07  1.68523920e+00  1.40436600e-07  2.31268722e-04  1.40436600e-07  1.45804990e+00  1.40436600e-07  6.54569270e-04  1.40436600e-07  1.69563927e+00  1.40436600e-07  1.11142050e-03 
 1.45331960e-07  1.74398351e+00  1.45331960e-07  2.32895451e-04  1.45331960e-07  1.51390336e+00  1.45331960e-07  6.67819335e-04  1.45331960e-07  1.73352911e+00  1.45331960e-07  1.14831113e-03 
 1.51590503e-07  1.81908603e+00  1.51590503e-07  2.34938012e-04  1.51590503e-07  1.58516151e+00  1.51590503e-07  6.53075610e-04  1.51590503e-07  1.82666545e+00  1.51590503e-07  1.19538132e-03 
 1.58567770e-07  1.90281324e+00  1.58567770e-07  2.37227285e-04  1.58567770e-07  1.66516070e+00  1.58567770e-07  7.00375166e-04  1.58567770e-07  1.89497018e+00  1.58567770e-07  1.24778767e-03 
 1.69013322e-07  2.02815986e+00  1.69013322e-07  2.40628299e-04  1.69013322e-07  1.78522847e+00  1.69013322e-07  6.85078129e-04  1.69013322e-07  2.03384778e+00  1.69013322e-07  1.32593698e-03 
 1.82969376e-07  2.19563252e+00  1.82969376e-07  2.45165452e-04  1.82969376e-07  1.94671562e+00  1.82969376e-07  7.52857501e-04  1.82969376e-07  2.18977948e+00  1.82969376e-07  1.42880290e-03 
 2.04011673e-07  2.44814008e+00  2.04011673e-07  2.51959807e-04  2.04011673e-07  2.19169381e+00  2.04011673e-07  7.60495528e-04  2.04011673e-07  2.45228616e+00  2.04011673e-07  1.57840409e-03 
 2.35950980e-07  2.83141176e+00  2.35950980e-07  2.62188026e-04  2.35950980e-07  2.56661496e+00  2.35950980e-07  8.70702829e-04  2.35950980e-07  2.82731858e+00  2.35950980e-07  1.79146798e-03 
 2.77304289e-07  3.32765146e+00  2.77304289e-07  2.75122145e-04  2.77304289e-07  3.05572549e+00  2.77304289e-07  9.06212518e-04  2.77304289e-07  3.33052706e+00  2.77304289e-07  2.04368089e-03 
 3.60010906e-07  4.32013087e+00  3.60010906e-07  2.99748539e-04  3.60010906e-07  4.03849160e+00  3.60010906e-07  1.53985443e-03  3.60010906e-07  4.31741728e+00  3.60010906e-07  2.48307007e-03 
