 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 1.00000000e-09  1.20000000e-02  1.00000000e-09  1.96316434e-04  1.00000000e-09  9.50266830e-03  1.00000000e-09 -5.74257752e-04  1.00000000e-09  8.78358749e-03  1.00000000e-09  7.25463006e-06 
 1.02793204e-09  1.23351845e-02  1.02793204e-09  1.98738056e-04  1.02793204e-09  9.76774415e-03  1.02793204e-09 -5.94085772e-04  1.02793204e-09  9.03027846e-03  1.02793204e-09  7.45846816e-06 
 1.08379612e-09  1.30055534e-02  1.08379612e-09  2.00896299e-04  1.08379612e-09  1.02974182e-02  1.08379612e-09 -6.11868082e-04  1.08379612e-09  9.52381334e-03  1.08379612e-09  7.86654159e-06 
 1.19552427e-09  1.43462912e-02  1.19552427e-09  2.00614858e-04  1.19552427e-09  1.13561836e-02  1.19552427e-09 -6.27070300e-04  1.19552427e-09  1.05114534e-02  1.19552427e-09  8.68337984e-06 
 1.41898058e-09  1.70277669e-02  1.41898058e-09  2.00816081e-04  1.41898058e-09  1.34749428e-02  1.41898058e-09 -5.94776935e-04  1.41898058e-09  1.24888622e-02  1.41898058e-09  1.03238554e-05 
 1.73373897e-09  2.08048677e-02  1.73373897e-09  2.00777809e-04  1.73373897e-09  1.64616623e-02  1.73373897e-09 -4.92659432e-04  1.73373897e-09  1.52782483e-02  1.73373897e-09  1.26463668e-05 
 2.36325576e-09  2.83590691e-02  2.36325576e-09  2.01001574e-04  2.36325576e-09  2.24427576e-02  2.36325576e-09 -2.90077039e-04  2.36325576e-09  2.08677353e-02  2.36325576e-09  1.73238525e-05 
 3.62228934e-09  4.34674721e-02  3.62228934e-09  2.01202914e-04  3.62228934e-09  3.44331289e-02  3.62228934e-09 -3.01107018e-05  3.62228934e-09  3.20750264e-02  3.62228934e-09  2.67840863e-05 
 6.14035650e-09  7.36842780e-02  6.14035650e-09  2.01835888e-04  6.14035650e-09  5.85200638e-02  6.14035650e-09  1.54213158e-04  6.14035650e-09  5.45550174e-02  6.14035650e-09  4.60198574e-05 
 1.11764908e-08  1.34117890e-01  1.11764908e-08  2.02886668e-04  1.11764908e-08  1.07101843e-01  1.11764908e-08  1.97278861e-04  1.11764908e-08  9.96863965e-02  1.11764908e-08  8.52766250e-05 
 2.12487595e-08  2.54985114e-01  2.12487595e-08  2.05190459e-04  2.12487595e-08  2.05839602e-01  2.12487595e-08  1.92543444e-04  2.12487595e-08  1.90736989e-01  2.12487595e-08  1.65338506e-04 
 4.13932968e-08  4.96719561e-01  4.13932968e-08  2.09547567e-04  4.13932968e-08  4.09180462e-01  4.13932968e-08  2.03085633e-04  4.13932968e-08  3.80468444e-01  4.13932968e-08  3.27907244e-04 
 8.16823713e-08  9.80188456e-01  8.16823713e-08  2.18328881e-04  8.16823713e-08  8.35461422e-01  8.16823713e-08  2.10433252e-04  8.16823713e-08  8.12498907e-01  8.16823713e-08  6.53087354e-04 
 1.00000000e-07  1.20000000e+00  1.00000000e-07  2.22187731e-04  1.00000000e-07  1.03671735e+00  1.00000000e-07  2.26037749e-04  1.00000000e-07  8.51001241e-01  1.00000000e-07  7.97749074e-04 
 1.03599759e-07  1.24319711e+00  1.03599759e-07  2.23003058e-04  1.03599759e-07  1.07677013e+00  1.03599759e-07  2.33057225e-04  1.03599759e-07  7.86436545e-01  1.03599759e-07  8.25521300e-04 
