 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 1.00000000e-09  1.00000000e-03  1.00000000e-09  1.82233387e-04  1.00000000e-09  7.87378880e-04  1.00000000e-09 -2.25814028e-03  1.00000000e-09  6.37336625e-04  1.00000000e-09  7.11801754e-06 
 1.02794806e-09  1.02794806e-03  1.02794806e-09  1.84422832e-04  1.02794806e-09  8.08682153e-04  1.02794806e-09 -2.30435322e-03  1.02794806e-09  6.55200212e-04  1.02794806e-09  7.31837454e-06 
 1.08384419e-09  1.08384419e-03  1.08384419e-09  1.86322390e-04  1.08384419e-09  8.50727436e-04  1.08384419e-09 -2.36239672e-03  1.08384419e-09  6.91091316e-04  1.08384419e-09  7.72041331e-06 
 1.19563645e-09  1.19563645e-03  1.19563645e-09  1.85995172e-04  1.19563645e-09  9.33913900e-04  1.19563645e-09 -2.42757044e-03  1.19563645e-09  7.63099416e-04  1.19563645e-09  8.52673176e-06 
 1.41922097e-09  1.41922097e-03  1.41922097e-09  1.86134471e-04  1.41922097e-09  1.10064147e-03  1.41922097e-09 -2.40752861e-03  1.41922097e-09  9.08446220e-04  1.41922097e-09  1.01500636e-05 
 1.72904809e-09  1.72904809e-03  1.72904809e-09  1.85987402e-04  1.72904809e-09  1.33194765e-03  1.72904809e-09 -2.20642883e-03  1.72904809e-09  1.11142326e-03  1.72904809e-09  1.24159646e-05 
 2.34870232e-09  2.34870232e-03  2.34870232e-09  1.86019241e-04  2.34870232e-09  1.79573817e-03  2.34870232e-09 -1.68571235e-03  2.34870232e-09  1.51914581e-03  2.34870232e-09  1.69837000e-05 
 3.58801079e-09  3.58801079e-03  3.58801079e-09  1.85822701e-04  3.58801079e-09  2.72739215e-03  3.58801079e-09 -8.56223905e-04  3.58801079e-09  2.33596376e-03  3.58801079e-09  2.62181809e-05 
 6.06662772e-09  6.06662772e-03  6.06662772e-09  1.85696700e-04  6.06662772e-09  4.60617319e-03  6.06662772e-09 -1.12339892e-04  6.06662772e-09  3.97328884e-03  6.06662772e-09  4.49786603e-05 
 1.10238616e-08  1.10238616e-02  1.10238616e-08  1.85234245e-04  1.10238616e-08  8.41914824e-03  1.10238616e-08  1.19752985e-04  1.10238616e-08  7.27392984e-03  1.10238616e-08  8.32812964e-05 
