 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            ibvdd           time            p_pass         
 1.00000000e-09  1.00000000e-03  1.00000000e-09  1.82232955e-04  1.00000000e-09  7.75755857e-04  1.00000000e-09 -2.31020346e-03  1.00000000e-09  6.36214754e-07  1.00000000e-09  5.20275459e-10 
 1.02794806e-09  1.02794806e-03  1.02794806e-09  1.84422381e-04  1.02794806e-09  7.96763714e-04  1.02794806e-09 -2.35642608e-03  1.02794806e-09  6.68363135e-07  1.02794806e-09  5.63781466e-10 
 1.08384417e-09  1.08384417e-03  1.08384417e-09  1.86321888e-04  1.08384417e-09  8.38240300e-04  1.08384417e-09 -2.41190566e-03  1.08384417e-09  6.96844082e-07  1.08384417e-09  6.25433094e-10 
 1.19563641e-09  1.19563641e-03  1.19563641e-09  1.85994561e-04  1.19563641e-09  9.20325355e-04  1.19563641e-09 -2.46956576e-03  1.19563641e-09  6.92203388e-07  1.19563641e-09  6.98877507e-10 
 1.41922087e-09  1.41922087e-03  1.41922087e-09  1.86133640e-04  1.41922087e-09  1.08483900e-03  1.41922087e-09 -2.43175461e-03  1.41922087e-09  6.94211470e-07  1.41922087e-09  8.56023301e-10 
 1.72904793e-09  1.72904793e-03  1.72904793e-09  1.85986299e-04  1.72904793e-09  1.31307324e-03  1.72904793e-09 -2.21046046e-03  1.72904793e-09  6.92766474e-07  1.72904793e-09  1.06898136e-09 
 2.34870203e-09  2.34870203e-03  2.34870203e-09  1.86017706e-04  2.34870203e-09  1.77070019e-03  2.34870203e-09 -1.67249536e-03  2.34870203e-09  6.94145821e-07  2.34870203e-09  1.50121829e-09 
 3.58801024e-09  3.58801024e-03  3.58801024e-09  1.85820489e-04  3.58801024e-09  2.68998510e-03  3.58801024e-09 -8.42864167e-04  3.58801024e-09  6.93972882e-07  3.58801024e-09  2.36102743e-09 
 6.06662667e-09  6.06662667e-03  6.06662667e-09  1.85693200e-04  6.06662667e-09  4.54389340e-03  6.06662667e-09 -1.08673146e-04  6.06662667e-09  6.96872693e-07  6.06662667e-09  4.09826194e-09 
 1.10238595e-08  1.10238595e-02  1.10238595e-08  1.85228010e-04  1.10238595e-08  8.30675151e-03  1.10238595e-08  1.17260761e-04  1.10238595e-08  7.01055429e-07  1.10238595e-08  7.59848146e-09 
 1.81735323e-08  1.81735323e-02  1.81735323e-08  1.84757198e-04  1.81735323e-08  1.38471860e-02  1.81735323e-08  8.74557957e-05  1.81735323e-08  7.10791585e-07  1.81735323e-08  1.27862700e-08 
 3.05825803e-08  3.05825803e-02  3.05825803e-08  1.83745628e-04  3.05825803e-08  2.37338622e-02  3.05825803e-08  9.72878971e-05  3.05825803e-08  7.26265043e-07  3.05825803e-08  2.20776110e-08 
 5.54006764e-08  5.54006764e-02  5.54006764e-08  1.82000089e-04  5.54006764e-08  4.43501511e-02  5.54006764e-08  9.26186901e-05  5.54006764e-08  7.59848347e-07  5.54006764e-08  4.19578199e-08 
 1.00000000e-07  1.00000000e-01  1.00000000e-07  1.78784998e-04  1.00000000e-07  8.35258211e-02  1.00000000e-07  1.00120092e-04  1.00000000e-07  8.12592320e-07  1.00000000e-07  8.11139527e-08 
