 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)        time            @vbvdd[i]      
 1.00000000e-09  1.00000000e-03  1.00000000e-09  1.82232955e-04  1.00000000e-09  7.75755857e-04  1.00000000e-09 -2.31020346e-03  1.00000000e-09  6.73687004e-04  1.00000000e-09  9.84638908e-05  1.00000000e-09 -5.06214871e-05 
 1.02794806e-09  1.02794806e-03  1.02794806e-09  1.84422381e-04  1.02794806e-09  7.96763714e-04  1.02794806e-09 -2.35642608e-03  1.02794806e-09  6.92567467e-04  1.02794806e-09  1.01232194e-04  1.02794806e-09 -5.06214871e-05 
 1.08384417e-09  1.08384417e-03  1.08384417e-09  1.86321888e-04  1.08384417e-09  8.38240300e-04  1.08384417e-09 -2.41190566e-03  1.08384417e-09  7.30359346e-04  1.08384417e-09  1.06784431e-04  1.08384417e-09 -5.06214871e-05 
 1.19563641e-09  1.19563641e-03  1.19563641e-09  1.85994561e-04  1.19563641e-09  9.20325355e-04  1.19563641e-09 -2.46956576e-03  1.19563641e-09  8.06003754e-04  1.19563641e-09  1.17914297e-04  1.19563641e-09 -5.06214871e-05 
 1.41922087e-09  1.41922087e-03  1.41922087e-09  1.86133640e-04  1.41922087e-09  1.08483900e-03  1.41922087e-09 -2.43175461e-03  1.41922087e-09  9.57563636e-04  1.41922087e-09  1.40301449e-04  1.41922087e-09 -5.06214871e-05 
 1.72904793e-09  1.72904793e-03  1.72904793e-09  1.85986299e-04  1.72904793e-09  1.31307324e-03  1.72904793e-09 -2.21046046e-03  1.72904793e-09  1.16800550e-03  1.72904793e-09  1.71514490e-04  1.72904793e-09 -5.06214871e-05 
 2.34870203e-09  2.34870203e-03  2.34870203e-09  1.86017706e-04  2.34870203e-09  1.77070019e-03  2.34870203e-09 -1.67249536e-03  2.34870203e-09  1.58987349e-03  2.34870203e-09  2.34351836e-04  2.34870203e-09 -5.06214871e-05 
 3.58801024e-09  3.58801024e-03  3.58801024e-09  1.85820489e-04  3.58801024e-09  2.68998510e-03  3.58801024e-09 -8.42864167e-04  3.58801024e-09  2.43676120e-03  3.58801024e-09  3.61169337e-04  3.58801024e-09 -5.06214871e-05 
 6.06662667e-09  6.06662667e-03  6.06662667e-09  1.85693200e-04  6.06662667e-09  4.54389340e-03  6.06662667e-09 -1.08673146e-04  6.06662667e-09  4.14195123e-03  6.06662667e-09  6.18200164e-04  6.06662667e-09 -5.06214871e-05 
 1.10238595e-08  1.10238595e-02  1.10238595e-08  1.85228010e-04  1.10238595e-08  8.30675151e-03  1.10238595e-08  1.17260761e-04  1.10238595e-08  7.59205751e-03  1.10238595e-08  1.14132968e-03  1.10238595e-08 -5.06214871e-05 
