 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_en)       
 5.00000000e-09  5.00000000e-04  5.00000000e-09  1.73504834e-03  5.00000000e-09  6.69757181e-04  5.00000000e-09  7.24812414e-02 
 5.13998475e-09  5.13998475e-04  5.13998475e-09  1.74130145e-03  5.13998475e-09  6.83503404e-04  5.13998475e-09  7.45269649e-02 
 5.41995425e-09  5.41995425e-04  5.41995425e-09  1.74279795e-03  5.41995425e-09  7.13826955e-04  5.41995425e-09  7.86147168e-02 
 5.97989326e-09  5.97989326e-04  5.97989326e-09  1.74108918e-03  5.97989326e-09  7.95881010e-04  5.97989326e-09  8.67923400e-02 
 7.09977127e-09  7.09977127e-04  7.09977127e-09  1.74151339e-03  7.09977127e-09  9.98592685e-04  7.09977127e-09  1.03146379e-01 
 9.33952728e-09  9.33952728e-04  9.33952728e-09  1.73896607e-03  9.33952728e-09  1.37177380e-03  9.33952728e-09  1.35711298e-01 
 1.38190393e-08  1.38190393e-03  1.38190393e-08  1.73755917e-03  1.38190393e-08  1.85751774e-03  1.38190393e-08  1.99535874e-01 
 2.27780634e-08  2.27780634e-03  2.27780634e-08  1.73253157e-03  2.27780634e-08  2.24167517e-03  2.27780634e-08  3.18212513e-01 
 3.78725722e-08  3.78725722e-03  3.78725722e-08  1.72802583e-03  3.78725722e-08  2.31555832e-03  3.78725722e-08  4.89168285e-01 
 5.63694213e-08  5.63694213e-03  5.63694213e-08  1.71589523e-03  5.63694213e-08  2.22855990e-03  5.63694213e-08  5.97218157e-01 
 7.31815486e-08  7.31815486e-03  7.31815486e-08  1.70191399e-03  7.31815486e-08  2.15251576e-03  7.31815486e-08  5.98867110e-01 
 9.03337644e-08  9.03337644e-03  9.03337644e-08  1.68495706e-03  9.03337644e-08  2.18114836e-03  9.03337644e-08  5.88346219e-01 
 1.11949755e-07  1.11949755e-02  1.11949755e-07  1.66654261e-03  1.11949755e-07  2.22206668e-03  1.11949755e-07  5.83107703e-01 
 1.53585816e-07  1.53585816e-02  1.53585816e-07  1.62845063e-03  1.53585816e-07  2.28195092e-03  1.53585816e-07  5.72501312e-01 
 2.16701245e-07  2.16701245e-02  2.16701245e-07  1.57434466e-03  2.16701245e-07  2.38249496e-03  2.16701245e-07  5.63526514e-01 
 3.34685319e-07  3.34685319e-02  3.34685319e-07  1.47151058e-03  3.34685319e-07  2.55644245e-03  3.34685319e-07  5.52307803e-01 
 5.00000000e-07  5.00000000e-02  5.00000000e-07  1.33098312e-03  5.00000000e-07  2.80491886e-03  5.00000000e-07  5.45057065e-01 
 5.18338665e-07  5.18338665e-02  5.18338665e-07  1.31478113e-03  5.18338665e-07  2.83068723e-03  5.18338665e-07  5.44314274e-01 
 5.55015994e-07  5.55015994e-02  5.55015994e-07  1.28342044e-03  5.55015994e-07  2.88404964e-03  5.55015994e-07  5.43214699e-01 
 6.28370653e-07  6.28370653e-02  6.28370653e-07  1.22072143e-03  6.28370653e-07  2.99186463e-03  6.28370653e-07  5.41540109e-01 
 7.75079970e-07  7.75079970e-02  7.75079970e-07  1.09533309e-03  7.75079970e-07  3.20461790e-03  7.75079970e-07  5.39006500e-01 
 1.06849860e-06  1.06849860e-01  1.06849860e-06  8.44569081e-04  1.06849860e-06  3.62473970e-03  1.06849860e-06  5.36227993e-01 
 1.56849860e-06  1.56849860e-01  1.56849860e-06  4.17145848e-04  1.56849860e-06  4.32296210e-03  1.56849860e-06  5.34293474e-01 
 2.06849860e-06  2.06849860e-01  2.06849860e-06 -1.03483063e-05  2.06849860e-06  5.00707845e-03  2.06849860e-06  5.33862424e-01 
 2.56849860e-06  2.56849860e-01  2.56849860e-06 -4.37728231e-04  2.56849860e-06  5.68524627e-03  2.56849860e-06  5.33801237e-01 
 3.06849860e-06  3.06849860e-01  3.06849860e-06 -8.64607985e-04  3.06849860e-06  6.37503123e-03  3.06849860e-06  5.33986368e-01 
 3.56849860e-06  3.56849860e-01  3.56849860e-06 -1.29027559e-03  3.56849860e-06  7.10434663e-03  3.56849860e-06  5.34188076e-01 
 4.06849860e-06  4.06849860e-01  4.06849860e-06 -1.71317052e-03  4.06849860e-06  7.93591566e-03  4.06849860e-06  5.34497132e-01 
 4.56849860e-06  4.56849860e-01  4.56849860e-06 -2.12973125e-03  4.56849860e-06  9.00309902e-03  4.56849860e-06  5.34769053e-01 
 5.06849860e-06  5.06849860e-01  5.06849860e-06 -2.53150075e-03  5.06849860e-06  1.06085343e-02  5.06849860e-06  5.35119726e-01 
 5.56849860e-06  5.56849860e-01  5.56849860e-06 -2.89892258e-03  5.56849860e-06  1.33966288e-02  5.56849860e-06  5.35463813e-01 
 6.06849860e-06  6.06849860e-01  6.06849860e-06 -3.19003860e-03  6.06849860e-06  1.86081692e-02  6.06849860e-06  5.35917191e-01 
 6.56849860e-06  6.56849860e-01  6.56849860e-06 -3.32863614e-03  6.56849860e-06  2.81130822e-02  6.56849860e-06  5.36388680e-01 
 7.06849860e-06  7.06849860e-01  7.06849860e-06 -3.20866871e-03  7.06849860e-06  4.37264561e-02  7.06849860e-06  5.37041376e-01 
 7.56849860e-06  7.56849860e-01  7.56849860e-06 -2.72658083e-03  7.56849860e-06  6.59955474e-02  7.56849860e-06  5.37836909e-01 
 8.06849860e-06  8.06849860e-01  8.06849860e-06 -1.81208517e-03  8.06849860e-06  9.38763351e-02  8.06849860e-06  5.38972497e-01 
 8.56849860e-06  8.56849860e-01  8.56849860e-06 -4.19217572e-04  8.56849860e-06  1.25630980e-01  8.56849860e-06  5.40550383e-01 
 9.06849860e-06  9.06849860e-01  9.06849860e-06  1.50906450e-03  9.06849860e-06  1.59763779e-01  9.06849860e-06  5.43083871e-01 
 9.56849860e-06  9.56849860e-01  9.56849860e-06  4.06759516e-03  9.56849860e-06  1.95317035e-01  9.56849860e-06  5.47364695e-01 
 1.00684986e-05  1.00684986e+00  1.00684986e-05  7.39888723e-03  1.00684986e-05  2.31775547e-01  1.00684986e-05  5.55306469e-01 
 1.05684986e-05  1.05684986e+00  1.05684986e-05  1.16954880e-02  1.05684986e-05  2.68874895e-01  1.05684986e-05  5.70637441e-01 
 1.10684986e-05  1.10684986e+00  1.10684986e-05  1.71966754e-02  1.10684986e-05  3.06572196e-01  1.10684986e-05  6.01928162e-01 
 1.15684986e-05  1.15684986e+00  1.15684986e-05  2.41873761e-02  1.15684986e-05  3.44808801e-01  1.15684986e-05  6.68963750e-01 
 1.20684986e-05  1.20684986e+00  1.20684986e-05  3.29896879e-02  1.20684986e-05  3.83624197e-01  1.20684986e-05  7.53588193e-01 
 1.25684986e-05  1.25684986e+00  1.25684986e-05  4.39639569e-02  1.25684986e-05  4.23080053e-01  1.25684986e-05  1.14322115e+00 
 1.30076351e-05  1.30076351e+00  1.30076351e-05  5.56560688e-02  1.30076351e-05  4.58175328e-01  1.30076351e-05  1.31120680e+00 
 1.34653403e-05  1.34653403e+00  1.34653403e-05  7.01833279e-02  1.34653403e-05  4.95305956e-01  1.34653403e-05  1.33703704e+00 
 1.39653403e-05  1.39653403e+00  1.39653403e-05  8.91247104e-02  1.39653403e-05  5.36412473e-01  1.39653403e-05  1.40132394e+00 
 1.44653403e-05  1.44653403e+00  1.44653403e-05  1.11629656e-01  1.44653403e-05  5.78019747e-01  1.44653403e-05  1.44229768e+00 
 1.49653403e-05  1.49653403e+00  1.49653403e-05  1.38130805e-01  1.49653403e-05  6.19861306e-01  1.49653403e-05  1.49877222e+00 
 1.54653403e-05  1.54653403e+00  1.54653403e-05  1.69213818e-01  1.54653403e-05  6.61605228e-01  1.54653403e-05  1.54404596e+00 
 1.59653403e-05  1.59653403e+00  1.59653403e-05  2.05840125e-01  1.59653403e-05  7.02611580e-01  1.59653403e-05  1.59797024e+00 
 1.64653403e-05  1.64653403e+00  1.64653403e-05  2.49748190e-01  1.64653403e-05  7.42037405e-01  1.64653403e-05  1.64486348e+00 
 1.69653403e-05  1.69653403e+00  1.69653403e-05  3.04316626e-01  1.69653403e-05  7.78474751e-01  1.69653403e-05  1.69759170e+00 
 1.74653403e-05  1.74653403e+00  1.74653403e-05  3.76265226e-01  1.74653403e-05  8.10404070e-01  1.74653403e-05  1.74533786e+00 
 1.79653403e-05  1.79653403e+00  1.79653403e-05  4.76855479e-01  1.79653403e-05  8.38248014e-01  1.79653403e-05  1.79743871e+00 
 1.84653403e-05  1.84653403e+00  1.84653403e-05  6.20676604e-01  1.84653403e-05  8.63964485e-01  1.84653403e-05  1.84570467e+00 
 1.89653403e-05  1.89653403e+00  1.89653403e-05  8.22589165e-01  1.89653403e-05  8.88953026e-01  1.89653403e-05  1.89740904e+00 
