 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 1.00000000e-09  1.00000000e-04  1.00000000e-09  1.82205132e-04  1.00000000e-09  1.14632816e-04  1.00000000e-09 -2.30869172e-03  1.00000000e-09  6.60036839e-05  1.00000000e-09  7.11606286e-06 
 1.02794806e-09  1.02794806e-04  1.02794806e-09  1.84393748e-04  1.02794806e-09  1.17201004e-04  1.02794806e-09 -2.35493287e-03  1.02794806e-09  6.78530517e-05  1.02794806e-09  7.31641965e-06 
 1.08384417e-09  1.08384417e-04  1.08384417e-09  1.86291608e-04  1.08384417e-09  1.21832004e-04  1.08384417e-09 -2.41062192e-03  1.08384417e-09  7.15747565e-05  1.08384417e-09  7.71855005e-06 
 1.19563641e-09  1.19563641e-04  1.19563641e-09  1.85960938e-04  1.19563641e-09  1.30252038e-04  1.19563641e-09 -2.46884355e-03  1.19563641e-09  7.90483248e-05  1.19563641e-09  8.52513537e-06 
 1.41922087e-09  1.41922087e-04  1.41922087e-09  1.86093337e-04  1.41922087e-09  1.47359546e-04  1.41922087e-09 -2.43234213e-03  1.41922087e-09  9.41469577e-05  1.41922087e-09  1.01490986e-05 
 1.72904793e-09  1.72904793e-04  1.72904793e-09  1.85936732e-04  1.72904793e-09  1.71104096e-04  1.72904793e-09 -2.21250872e-03  1.72904793e-09  1.15232894e-04  1.72904793e-09  1.24157165e-05 
 2.34870206e-09  2.34870206e-04  2.34870206e-09  1.85950174e-04  2.34870206e-09  2.17631587e-04  2.34870206e-09 -1.67574653e-03  2.34870206e-09  1.57517399e-04  2.34870206e-09  1.69840676e-05 
 3.58801030e-09  3.58801030e-04  3.58801030e-09  1.85717372e-04  3.58801030e-09  3.10274216e-04  3.58801030e-09 -8.46192519e-04  3.58801030e-09  2.41897911e-04  3.58801030e-09  2.62185426e-05 
 6.06662679e-09  6.06662679e-04  6.06662679e-09  1.85519068e-04  6.06662679e-09  4.96236672e-04  6.06662679e-09 -1.11720224e-04  6.06662679e-09  4.09926683e-04  6.06662679e-09  4.49786284e-05 
 1.10238598e-08  1.10238598e-03  1.10238598e-08  1.84912103e-04  1.10238598e-08  8.72046196e-04  1.10238598e-08  1.14312513e-04  1.10238598e-08  7.45361637e-04  1.10238598e-08  8.32809583e-05 
