 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 1.00000000e-09  1.00000000e-03  1.00000000e-09  1.59256406e-04  1.00000000e-09  6.71982796e-04  1.00000000e-09 -1.16703159e-03  1.00000000e-09  6.13529773e-04  1.00000000e-09  8.55093283e-05 
 1.02795849e-09  1.02795849e-03  1.02795849e-09  1.61113895e-04  1.02795849e-09  6.89889189e-04  1.02795849e-09 -1.20552242e-03  1.02795849e-09  6.30687961e-04  1.02795849e-09  8.78518074e-05 
 1.08387547e-09  1.08387547e-03  1.08387547e-09  1.62688648e-04  1.08387547e-09  7.24983927e-04  1.08387547e-09 -1.25597179e-03  1.08387547e-09  6.65052497e-04  1.08387547e-09  9.25744437e-05 
 1.19570943e-09  1.19570943e-03  1.19570943e-09  1.62382088e-04  1.19570943e-09  7.94088292e-04  1.19570943e-09 -1.34088885e-03  1.19570943e-09  7.33813666e-04  1.19570943e-09  1.02042758e-04 
 1.41937735e-09  1.41937735e-03  1.41937735e-09  1.62518089e-04  1.41937735e-09  9.33039190e-04  1.41937735e-09 -1.45678522e-03  1.41937735e-09  8.71493682e-04  1.41937735e-09  1.21090684e-04 
 1.71205952e-09  1.71205952e-03  1.71205952e-09  1.62377814e-04  1.71205952e-09  1.11569536e-03  1.71205952e-09 -1.51617883e-03  1.71205952e-09  1.05193454e-03  1.71205952e-09  1.46216580e-04 
 2.29742386e-09  2.29742386e-03  2.29742386e-09  1.62410464e-04  2.29742386e-09  1.48417167e-03  2.29742386e-09 -1.46726837e-03  2.29742386e-09  1.41349872e-03  2.29742386e-09  1.96978737e-04 
 3.46815253e-09  3.46815253e-03  3.46815253e-09  1.62216766e-04  3.46815253e-09  2.23250766e-03  3.46815253e-09 -1.12552407e-03  3.46815253e-09  2.13858175e-03  3.46815253e-09  2.99936532e-04 
 5.80960987e-09  5.80960987e-03  5.80960987e-09  1.62083068e-04  5.80960987e-09  3.77075798e-03  5.80960987e-09 -5.11579100e-04  5.80960987e-09  3.59477242e-03  5.80960987e-09  5.09510411e-04 
 1.04925246e-08  1.04925246e-02  1.04925246e-08  1.61626533e-04  1.04925246e-08  6.98700785e-03  1.04925246e-08 -4.28744952e-05  1.04925246e-08  6.53128468e-03  1.04925246e-08  9.37720168e-04 
 1.92338249e-08  1.92338249e-02  1.92338249e-08  1.61026378e-04  1.92338249e-08  1.33649824e-02  1.92338249e-08  2.04998729e-05  1.92338249e-08  1.21056389e-02  1.92338249e-08  1.75501930e-03 
 3.00298178e-08  3.00298178e-02  3.00298178e-08  1.60139227e-04  3.00298178e-08  2.17134548e-02  3.00298178e-08  1.60080225e-05  3.00298178e-08  1.91521419e-02  3.00298178e-08  2.78088848e-03 
 5.13271721e-08  5.13271721e-02  5.13271721e-08  1.58660866e-04  5.13271721e-08  3.91713834e-02  5.13271721e-08  2.85854183e-05  5.13271721e-08  3.34433919e-02  5.13271721e-08  4.82664046e-03 
 9.39218808e-08  9.39218808e-02  9.39218808e-08  1.55681798e-04  9.39218808e-08  7.65307193e-02  9.39218808e-08  4.20997629e-05  9.39218808e-08  6.25681944e-02  9.39218808e-08  8.87739298e-03 
 1.00000000e-07  1.00000000e-01  1.00000000e-07  1.55357271e-04  1.00000000e-07  8.20684273e-02  1.00000000e-07  4.23087536e-05  1.00000000e-07  6.67149783e-02  1.00000000e-07  9.44335177e-03 
 1.08326681e-07  1.08326681e-01  1.08326681e-07  1.54786561e-04  1.08326681e-07  8.97422377e-02  1.08326681e-07  4.51379424e-05  1.08326681e-07  7.23570155e-02  1.08326681e-07  1.01998772e-02 
 1.24980044e-07  1.24980044e-01  1.24980044e-07  1.53724978e-04  1.24980044e-07  1.05208981e-01  1.24980044e-07  4.82032016e-05  1.24980044e-07  8.36025493e-02  1.24980044e-07  1.16773680e-02 
 1.58286769e-07  1.58286769e-01  1.58286769e-07  1.51647315e-04  1.58286769e-07  1.36719680e-01  1.58286769e-07  5.19226784e-05  1.58286769e-07  1.05655503e-01  1.58286769e-07  1.43702694e-02 
 2.24900219e-07  2.24900219e-01  2.24900219e-07  1.47595653e-04  2.24900219e-07  2.01255167e-01  2.24900219e-07  5.74077543e-05  2.24900219e-07  1.47061796e-01  2.24900219e-07  1.85183758e-02 
 3.24900219e-07  3.24900219e-01  3.24900219e-07  1.41614272e-04  3.24900219e-07  3.00096469e-01  3.24900219e-07  6.11892325e-05  3.24900219e-07  1.97484374e-01  3.24900219e-07  2.20170764e-02 
 4.24900219e-07  4.24900219e-01  4.24900219e-07  1.35644158e-04  4.24900219e-07  3.99863300e-01  4.24900219e-07  6.38118709e-05  4.24900219e-07  2.23709364e-01  4.24900219e-07  2.34174152e-02 
 5.24900219e-07  5.24900219e-01  5.24900219e-07  1.29646720e-04  5.24900219e-07  4.99874643e-01  5.24900219e-07  6.62862714e-05  5.24900219e-07  2.12785925e-01  5.24900219e-07  2.39169718e-02 
 6.24900219e-07  6.24900219e-01  6.24900219e-07  1.23616695e-04  6.24900219e-07  5.99963184e-01  6.24900219e-07  6.90754050e-05  6.24900219e-07  1.61274980e-01  6.24900219e-07  2.40924225e-02 
 7.24900219e-07  7.24900219e-01  7.24900219e-07  1.17556652e-04  7.24900219e-07  7.00150868e-01  7.24900219e-07  7.20984444e-05  7.24900219e-07  9.48753390e-02  7.24900219e-07  2.41579922e-02 
 8.24900219e-07  8.24900219e-01  8.24900219e-07  1.11468493e-04  8.24900219e-07  8.00586184e-01  8.24900219e-07  7.54588830e-05  8.24900219e-07  7.96486181e-02  8.24900219e-07  2.41876571e-02 
 9.24900219e-07  9.24900219e-01  9.24900219e-07  1.05358021e-04  9.24900219e-07  9.01682538e-01  9.24900219e-07  7.89162393e-05  9.24900219e-07  3.70529029e-02  9.24900219e-07  2.42089203e-02 
 1.02490022e-06  1.02490022e+00  1.02490022e-06  9.93376176e-05  1.02490022e-06  1.00736812e+00  1.02490022e-06  8.70321693e-05  1.02490022e-06  7.43370819e-04  1.02490022e-06  2.41093896e-02 
 1.11424691e-06  1.11424691e+00  1.11424691e-06  9.38040500e-05  1.11424691e-06  1.09560089e+00  1.11424691e-06  1.07601768e-04  1.11424691e-06 -3.70684951e-04  1.11424691e-06  2.39083856e-02 
 1.20642229e-06  1.20642229e+00  1.20642229e-06  8.81262001e-05  1.20642229e-06  1.18719523e+00  1.20642229e-06  1.44026311e-04  1.20642229e-06  4.42306785e-04  1.20642229e-06  2.37041683e-02 
 1.30642229e-06  1.30642229e+00  1.30642229e-06  8.20577561e-05  1.30642229e-06  1.28802711e+00  1.30642229e-06  2.40638419e-04  1.30642229e-06 -2.41232135e-04  1.30642229e-06  2.34878098e-02 
 1.40642229e-06  1.40642229e+00  1.40642229e-06  7.61130806e-05  1.40642229e-06  1.38759294e+00  1.40642229e-06  4.55936638e-04  1.40642229e-06  3.10049992e-04  1.40642229e-06  2.32732631e-02 
 1.50642229e-06  1.50642229e+00  1.50642229e-06  7.04853714e-05  1.50642229e-06  1.48657382e+00  1.50642229e-06  8.87864427e-04  1.50642229e-06 -1.77503906e-04  1.50642229e-06  2.30615214e-02 
 1.60642229e-06  1.60642229e+00  1.60642229e-06  6.53800436e-05  1.60642229e-06  1.58371806e+00  1.60642229e-06  1.63427831e-03  1.60642229e-06  2.40148532e-04  1.60642229e-06  2.28514164e-02 
 1.70642229e-06  1.70642229e+00  1.70642229e-06  6.10841735e-05  1.70642229e-06  1.67978087e+00  1.70642229e-06  2.79350637e-03  1.70642229e-06 -1.40791574e-04  1.70642229e-06  2.26436694e-02 
 1.80642229e-06  1.80642229e+00  1.80642229e-06  5.78517476e-05  1.80642229e-06  1.77422500e+00  1.80642229e-06  4.44951444e-03  1.80642229e-06  1.97033886e-04  1.80642229e-06  2.24377466e-02 
 1.90642229e-06  1.90642229e+00  1.90642229e-06  5.59610843e-05  1.90642229e-06  1.86782075e+00  1.90642229e-06  6.68644499e-03  1.90642229e-06 -1.17016843e-04  1.90642229e-06  2.22341781e-02 
 2.00642229e-06  2.00642229e+00  2.00642229e-06  5.56471948e-05  2.00642229e-06  1.96023895e+00  2.00642229e-06  9.57784265e-03  2.00642229e-06  1.67837833e-04  2.00642229e-06  2.20327001e-02 
