 1.00000000e+00 -3.15963598e+02  1.00000000e+00 -9.00000760e+01 
 1.04712855e+00 -3.16363598e+02  1.04712855e+00 -9.00000760e+01 
 1.09647820e+00 -3.16763597e+02  1.09647820e+00 -9.00000760e+01 
 1.14815362e+00 -3.17163598e+02  1.14815362e+00 -9.00000760e+01 
 1.20226443e+00 -3.17563597e+02  1.20226443e+00 -9.00000760e+01 
 1.25892541e+00 -3.17963597e+02  1.25892541e+00 -9.00000760e+01 
 1.31825674e+00 -3.18363597e+02  1.31825674e+00 -9.00000760e+01 
 1.38038426e+00 -3.18763598e+02  1.38038426e+00 -9.00000760e+01 
 1.44543977e+00 -3.19163598e+02  1.44543977e+00 -9.00000760e+01 
 1.51356125e+00 -3.19563597e+02  1.51356125e+00 -9.00000760e+01 
 1.58489319e+00 -3.19963598e+02  1.58489319e+00 -9.00000760e+01 
 1.65958691e+00 -3.20363597e+02  1.65958691e+00 -9.00000760e+01 
 1.73780083e+00 -3.20763598e+02  1.73780083e+00 -9.00000760e+01 
 1.81970086e+00 -3.21163598e+02  1.81970086e+00 -9.00000760e+01 
 1.90546072e+00 -3.21563597e+02  1.90546072e+00 -9.00000760e+01 
 1.99526231e+00 -3.21963598e+02  1.99526231e+00 -9.00000760e+01 
 2.08929613e+00 -3.22363597e+02  2.08929613e+00 -9.00000760e+01 
 2.18776162e+00 -3.22763597e+02  2.18776162e+00 -9.00000760e+01 
 2.29086765e+00 -3.23163597e+02  2.29086765e+00 -9.00000760e+01 
 2.39883292e+00 -3.23563597e+02  2.39883292e+00 -9.00000760e+01 
 2.51188643e+00 -3.23963598e+02  2.51188643e+00 -9.00000760e+01 
 2.63026799e+00 -3.24363597e+02  2.63026799e+00 -9.00000760e+01 
 2.75422870e+00 -3.24763598e+02  2.75422870e+00 -9.00000760e+01 
 2.88403150e+00 -3.25163598e+02  2.88403150e+00 -9.00000760e+01 
 3.01995172e+00 -3.25563598e+02  3.01995172e+00 -9.00000760e+01 
 3.16227766e+00 -3.25963597e+02  3.16227766e+00 -9.00000760e+01 
