 1.00000000e+00 -1.29135524e+02  1.00000000e+00 -4.40504787e-12  1.00000000e+00 -2.07944278e+02 
 1.04712855e+00 -1.28735524e+02  1.04712855e+00 -4.83031628e-12  1.04712855e+00 -2.07544278e+02 
 1.09647820e+00 -1.28335524e+02  1.09647820e+00 -5.29801510e-12  1.09647820e+00 -2.07144278e+02 
 1.14815362e+00 -1.27935524e+02  1.14815362e+00 -5.80910866e-12  1.14815362e+00 -2.06744278e+02 
 1.20226443e+00 -1.27535524e+02  1.20226443e+00 -6.36938292e-12  1.20226443e+00 -2.06344278e+02 
 1.25892541e+00 -1.27135524e+02  1.25892541e+00 -6.98269519e-12  1.25892541e+00 -2.05944278e+02 
 1.31825674e+00 -1.26735524e+02  1.31825674e+00 -7.65676008e-12  1.31825674e+00 -2.05544278e+02 
 1.38038426e+00 -1.26335524e+02  1.38038426e+00 -8.39736358e-12  1.38038426e+00 -2.05144278e+02 
 1.44543977e+00 -1.25935524e+02  1.44543977e+00 -9.20547000e-12  1.44543977e+00 -2.04744278e+02 
 1.51356125e+00 -1.25535524e+02  1.51356125e+00 -1.00945799e-11  1.51356125e+00 -2.04344278e+02 
 1.58489319e+00 -1.25135524e+02  1.58489319e+00 -1.10675863e-11  1.58489319e+00 -2.03944278e+02 
 1.65958691e+00 -1.24735524e+02  1.65958691e+00 -1.21350968e-11  1.65958691e+00 -2.03544279e+02 
 1.73780083e+00 -1.24335524e+02  1.73780083e+00 -1.33067547e-11  1.73780083e+00 -2.03144279e+02 
 1.81970086e+00 -1.23935524e+02  1.81970086e+00 -1.45902746e-11  1.81970086e+00 -2.02744279e+02 
 1.90546072e+00 -1.23535524e+02  1.90546072e+00 -1.59972283e-11  1.90546072e+00 -2.02344279e+02 
 1.99526231e+00 -1.23135524e+02  1.99526231e+00 -1.75411166e-11  1.99526231e+00 -2.01944279e+02 
 2.08929613e+00 -1.22735524e+02  2.08929613e+00 -1.92335113e-11  2.08929613e+00 -2.01544279e+02 
 2.18776162e+00 -1.22335524e+02  2.18776162e+00 -2.10888774e-11  2.18776162e+00 -2.01144279e+02 
 2.29086765e+00 -1.21935525e+02  2.29086765e+00 -2.31226440e-11  2.29086765e+00 -2.00744279e+02 
