# iload_ma pvdd_v
5.718949e-02 5.718949e+00
1.182549e+00 5.912745e+00
5.134717e+00 5.134717e+00
9.963124e+00 4.981562e+00
1.495554e+01 4.980195e+00
1.723906e+01 4.309765e+00
1.840259e+01 3.680517e+00
1.925590e+01 3.196480e+00
1.988199e+01 2.843124e+00
2.039939e+01 2.549923e+00
2.084604e+01 2.313910e+00
2.130209e+01 2.130209e+00
2.093469e+01 1.905057e+00
2.350804e+01 1.951167e+00
2.483915e+01 1.912614e+00
2.639328e+01 1.873923e+00
2.891441e+01 1.807151e+00
3.128445e+01 1.720645e+00
3.273791e+01 1.636895e+00
3.390592e+01 1.525767e+00
3.480290e+01 1.392116e+00
3.561352e+01 1.246473e+00
3.649287e+01 1.094786e+00
3.753644e+01 9.384109e-01
3.882733e+01 7.765466e-01
4.047211e+01 6.070817e-01
4.263342e+01 4.263342e-01
4.428951e+01 3.100266e-01
4.560050e+01 2.280025e-01
4.712675e+01 1.413802e-01
4.798921e+01 9.597842e-02
4.893106e+01 4.893106e-02
4.943561e+01 2.471781e-02
4.985705e+01 4.985705e-03
