# rload_ohm pvdd_v iload_ma
100000 4.98609 0
10000 4.98521 .4000
5000 4.98475 .9000
2000 4.98392 2.4000
1000 6.22719 6.2000
500 4.98156 9.9000
333 4.9802 14.9000
250 2.98435 11.9000
200 4.97607 24.8000
167 4.96992 29.7000
143 4.97504 34.7000
125 4.88323 39.0000
111 4.33972 39.0000
105 4.12291 39.2000
100 4.57106 45.7000
95 4.46246 46.9000
91 4.36567 47.9000
88 4.28851 48.7000
83 4.54183 54.7000
77 3.9894 51.8000
71 3.82888 53.9000
67 3.72781 55.6000
63 3.63355 57.6000
56 3.48889 62.3000
50 3.29808 65.9000
45 3.3229 73.8000
40 3.26578 81.6000
30 3.22493 107.4000
20 3.20716 160.3000
10 1.99875 199.8000
5 1.47196 294.3000
1 0.31526 315.2000
0.5 0.160504 321.0000
0.1 0.0326772 326.7000
