# corner Rload(ohm) PVDD(V) Iload(A)
tt_27 10000 4.99546 0.000499546
tt_27 5000 4.99531 0.000999063
tt_27 2000 4.99506 0.00249753
tt_27 1000 4.99479 0.00499479
tt_27 500 4.99442 0.00998884
tt_27 200 4.99369 0.0249684
tt_27 150 4.99339 0.0332893
tt_27 120 4.99314 0.0416095
tt_27 110 4.99304 0.0453912
tt_27 100 4.99292 0.0499292
tt_27 95 4.99286 0.0525564
tt_27 90 4.86736 0.0540818
tt_27 85 4.68626 0.0551325
tt_27 80 4.49336 0.056167
tt_27 75 4.28938 0.0571918
tt_27 50 3.11141 0.0622281
tt_27 30 1.99407 0.0664691
tt_27 20 1.39 0.0694999
tt_27 10 0.657669 0.0657669
tt_27 5 0.406238 0.0812475
tt_27 1 0.0892481 0.0892481
tt_27 0.5 0.0453094 0.0906188
tt_27 0.1 0.00918006 0.0918006
ss_150 10000 4.99654 0.000499654
ss_150 5000 4.99631 0.000999263
ss_150 2000 4.99393 0.00249697
ss_150 1000 4.99552 0.00499552
ss_150 500 4.99496 0.00998993
ss_150 200 4.99392 0.0249696
ss_150 150 4.99353 0.0332902
ss_150 120 4.99323 0.0416102
ss_150 110 4.99311 0.0453919
ss_150 100 4.99298 0.0499298
ss_150 95 4.99291 0.0525569
ss_150 90 4.99283 0.0554759
ss_150 85 4.86545 0.0572406
ss_150 80 4.67593 0.0584491
ss_150 75 4.47244 0.0596326
ss_150 50 3.26093 0.0652187
ss_150 30 2.0839 0.0694632
ss_150 20 1.43841 0.0719206
ss_150 10 0.962129 0.0962129
ss_150 5 0.400215 0.0800429
ss_150 1 0.073082 0.073082
ss_150 0.5 0.0431097 0.0862194
ss_150 0.1 0.00869741 0.0869741
ff_m40 10000 4.9951 0.00049951
ff_m40 5000 4.99499 0.000998998
ff_m40 2000 4.9948 0.0024974
ff_m40 1000 4.9946 0.0049946
ff_m40 500 4.99433 0.00998866
ff_m40 200 4.99377 0.0249689
ff_m40 150 4.99354 0.0332903
ff_m40 120 4.99334 0.0416111
ff_m40 110 4.99325 0.0453932
ff_m40 100 4.92955 0.0492955
ff_m40 95 4.76905 0.0502005
ff_m40 90 4.59977 0.0511085
ff_m40 85 4.42103 0.0520121
ff_m40 80 4.23334 0.0529168
ff_m40 75 4.03685 0.0538246
ff_m40 50 2.92361 0.0584721
ff_m40 30 1.88632 0.0628772
ff_m40 20 1.33058 0.0665289
ff_m40 10 0.738777 0.0738777
ff_m40 5 0.405404 0.0810808
ff_m40 1 0.091118 0.091118
ff_m40 0.5 0.046435 0.0928701
ff_m40 0.1 0.00943905 0.0943905
