# rload_ohm pvdd_v iload_ma
100000 5.88341 0
5000 4.98467 .9000
1000 4.98292 4.9000
500 4.98444 9.9000
333 4.98011 14.9000
250 4.30977 17.2000
200 3.68052 18.4000
167 1.10917 6.6000
143 4.97496 34.7000
125 2.54992 20.3000
115 2.38186 20.7000
111 0.737397 6.6000
108 2.26289 20.9000
106 1.86564 17.6000
104 2.94867 28.3000
103 2.17872 21.1000
102 2.16228 21.1000
101 0.579167 5.7000
100.5 2.1381 21.2000
100 2.13021 21.3000
99.5 2.12242 21.3000
99 1.84046 18.5000
98 2.09982 21.4000
97 9.71393E-06 -52.086061
96 2.07185 21.5000
95 2.05895 21.6000
93 2.68036 28.8000
91 0.78751 8.6000
88 1.98805 22.5000
83 1.85814 22.3000
77 1.91261 24.8000
71 1.87392 26.3000
63 1.81176 28.7000
50 1.6369 32.7000
