corner,temp,rload,pvdd,iload,gate
tt,27,100000,5.001019e+00,5.00101900e-05,6.090854e+00
tt,27,10000,5.000999e+00,5.00099900e-04,6.004756e+00
tt,27,5000,5.000988e+00,1.00019760e-03,5.959991e+00
tt,27,1000,5.000950e+00,5.00095000e-03,5.791499e+00
tt,27,500,5.000922e+00,1.00018440e-02,5.659509e+00
tt,27,200,5.000867e+00,2.50043350e-02,5.362327e+00
tt,27,150,5.000844e+00,3.33389600e-02,5.223171e+00
tt,27,120,5.000825e+00,4.16735417e-02,5.093429e+00
tt,27,110,5.000817e+00,4.54619727e-02,5.036702e+00
tt,27,100,5.000809e+00,5.00080900e-02,4.970102e+00
tt,27,95,5.000804e+00,5.26400421e-02,4.932182e+00
tt,27,90,5.000799e+00,5.55644333e-02,4.890536e+00
tt,27,85,4.970604e+00,5.84776941e-02,4.852406e+00
tt,27,80,4.778616e+00,5.97327000e-02,4.852324e+00
tt,27,75,4.572683e+00,6.09691067e-02,4.852309e+00
tt,27,70,4.353300e+00,6.21900000e-02,4.852300e+00
tt,27,60,3.875460e+00,6.45910000e-02,4.852291e+00
tt,27,50,3.347700e+00,6.69540000e-02,4.852286e+00
tt,27,30,2.153183e+00,7.17727667e-02,4.852281e+00
tt,27,10,8.103507e-01,8.10350700e-02,4.852279e+00
tt,27,5,4.755121e-01,9.51024200e-02,4.852278e+00
tt,27,1,9.604204e-02,9.60420400e-02,4.852278e+00
ss,150,100000,5.002032e+00,5.00203200e-05,6.248950e+00
ss,150,10000,5.001982e+00,5.00198200e-04,6.137433e+00
ss,150,5000,5.001957e+00,1.00039140e-03,6.080001e+00
ss,150,1000,5.001868e+00,5.00186800e-03,5.863621e+00
ss,150,500,5.001805e+00,1.00036100e-02,5.690836e+00
ss,150,200,5.001682e+00,2.50084100e-02,5.294794e+00
ss,150,150,5.001635e+00,3.33442333e-02,5.108803e+00
ss,150,120,5.001597e+00,4.16799750e-02,4.935571e+00
ss,150,110,5.001582e+00,4.54689273e-02,4.859886e+00
ss,150,100,5.001566e+00,5.00156600e-02,4.771062e+00
ss,150,95,5.001557e+00,5.26479684e-02,4.720502e+00
ss,150,90,5.001548e+00,5.55727556e-02,4.664979e+00
ss,150,85,5.001539e+00,5.88416353e-02,4.603657e+00
ss,150,80,4.934375e+00,6.16796875e-02,4.560681e+00
ss,150,75,4.734608e+00,6.31281067e-02,4.560607e+00
ss,150,70,4.517856e+00,6.45408000e-02,4.560582e+00
ss,150,60,4.035946e+00,6.72657667e-02,4.560557e+00
ss,150,50,3.493492e+00,6.98698400e-02,4.560545e+00
ss,150,30,2.245082e+00,7.48360667e-02,4.560533e+00
ss,150,10,8.180368e-01,8.18036800e-02,4.560527e+00
ss,150,5,4.297361e-01,8.59472200e-02,4.560526e+00
ss,150,1,9.165289e-02,9.16528900e-02,4.560525e+00
ff,-40,100000,5.000890e+00,5.00089000e-05,6.035134e+00
ff,-40,10000,5.000878e+00,5.00087800e-04,5.966573e+00
ff,-40,5000,5.000872e+00,1.00017440e-03,5.929666e+00
ff,-40,1000,5.000849e+00,5.00084900e-03,5.791211e+00
ff,-40,500,5.000833e+00,1.00016660e-02,5.684629e+00
ff,-40,200,5.000799e+00,2.50039950e-02,5.446289e+00
ff,-40,150,5.000785e+00,3.33385667e-02,5.334292e+00
ff,-40,120,5.000772e+00,4.16731000e-02,5.229507e+00
ff,-40,110,5.000767e+00,4.54615182e-02,5.183585e+00
ff,-40,100,5.000761e+00,5.00076100e-02,5.129591e+00
ff,-40,95,5.000758e+00,5.26395579e-02,5.098812e+00
ff,-40,90,4.917172e+00,5.46352444e-02,5.081825e+00
ff,-40,85,4.736791e+00,5.57269529e-02,5.081803e+00
ff,-40,80,4.545261e+00,5.68157625e-02,5.081794e+00
ff,-40,75,4.342683e+00,5.79024400e-02,5.081789e+00
ff,-40,70,4.129213e+00,5.89887571e-02,5.081786e+00
ff,-40,60,3.670186e+00,6.11697667e-02,5.081783e+00
ff,-40,50,3.168862e+00,6.33772400e-02,5.081780e+00
ff,-40,30,2.047444e+00,6.82481333e-02,5.081778e+00
ff,-40,10,7.965445e-01,7.96544500e-02,5.081777e+00
ff,-40,5,4.372423e-01,8.74484600e-02,5.081776e+00
ff,-40,1,9.868323e-02,9.86832300e-02,5.081776e+00
