Using SPARSE 1.3 as Direct Linear Solver

Note: No compatibility mode selected!


Circuit: UV/OV Characterization

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
svdd                                       2.2
avbg                                     1.226
uvov_en                                    2.2
pvdd                                         0
xuv.xr_top.t1                      1.63884e-12
xuv.xr_top.t2                      1.50375e-08
xuv.mid_uv                         1.50392e-08
xuv.xr_bot.t1                      1.50351e-08
xuv.xr_bot.t2                      4.10882e-12
xuv.out_n                          2.86561e-07
xuv.xr_hyst.t1                     2.86552e-07
xuv.xr_hyst.t2                     1.50474e-08
xuv.xr_bias.t1                          2.1999
xuv.xr_bias.t2                        0.800428
xuv.bias_n                            0.800332
xuv.tail                           2.74776e-07
xuv.out_p                              1.74883
xuv.en_bar                         2.64347e-06
xuv.nor_mid                                2.2
uv_flag                                    2.2
xov.xr_top.t1                      5.70421e-13
xov.xr_top.t2                      5.23401e-09
xov.mid_ov                         5.23458e-09
xov.xr_bot.t1                      5.23263e-09
xov.xr_bot.t2                      1.95303e-12
ov_flag                            3.86699e-07
xov.xr_hyst.t1                     3.86695e-07
xov.xr_hyst.t2                     5.23818e-09
xov.xr_bias.t1                          2.1999
xov.xr_bias.t2                        0.800428
xov.bias_n                            0.800332
xov.tail                              0.479535
xov.out_p                              1.07892
xov.out_n                                  2.2
xov.en_bar                         2.64347e-06
xov.nor_mid                           0.213614
vpvdd#branch                       3.94082e-14
ven#branch                                   0
vavbg#branch                                 0
vsvdd#branch                      -5.07974e-06

