Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: PVT DC Regulation

Doing analysis at TEMP = 150.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
bvdd                                         7
avbg                                     1.226
ibias                                 0.938974
svdd                                       2.2
en                                         2.2
en_ret                                       0
pvdd                                   5.00182
xdut.gate                              5.69095
xdut.xrss.t1                             1.226
xdut.xrss.t2                             1.226
xdut.vref_ss                             1.226
xdut.xea.ibias_en                     0.938855
xdut.ea_en                                   7
xdut.ea_out                            5.69095
xdut.xea.pb_tail                       5.79662
xdut.xea.tail_s                        3.14605
xdut.xea.d1                           0.970171
xdut.xea.d2                           0.844752
xdut.vfb                               1.22639
xdut.xea.comp_mid                      5.69095
xdut.xfb.xr_top.t1                     5.00144
xdut.xfb.xr_top.t2                     1.22678
xdut.xfb.xr_bot.t1                       1.226
xdut.xfb.xr_bot.t2                 0.000386591
xdut.ibias_ilim                        1.06899
xdut.xilim.xrcas_top.t1                6.99967
xdut.xilim.xrcas_top.t2                3.99731
xdut.xilim.cas_bias                    3.99699
xdut.xilim.xrcas_bot.t1                3.99666
xdut.xilim.xrcas_bot.t2            0.000325479
xdut.xilim.cas_mid                     4.87422
xdut.xilim.sense_out                 0.0367266
xdut.xilim.det_n                             7
xdut.xilim.xrpu.t1                           7
xdut.xilim.xrpu.t2                           7
xdut.ilim_flag                     1.09058e-06
xdut.xuv.xr_top.t1                     5.00149
xdut.xuv.xr_top.t2                     1.46473
xdut.xuv.mid_uv                        1.46439
xdut.xuv.xr_bot.t1                     1.46405
xdut.xuv.xr_bot.t2                 0.000345908
xdut.xuv.out_n                         2.17886
xdut.xuv.xr_hyst.t1                    2.17884
xdut.xuv.xr_hyst.t2                    1.46441
xdut.xuv.xr_bias.t1                    2.19992
xdut.xuv.xr_bias.t2                   0.833397
xdut.xuv.bias_n                       0.833317
xdut.xuv.tail                         0.695819
xdut.xuv.out_p                         1.20077
xdut.xuv.en_bar                    1.15106e-06
xdut.uvov_en                           5.00182
xdut.xuv.nor_mid                      0.192493
uv_flag                            2.60218e-05
xdut.xov.xr_top.t1                     5.00146
xdut.xov.xr_top.t2                     1.11455
xdut.xov.mid_ov                        1.11418
xdut.xov.xr_bot.t1                     1.11382
xdut.xov.xr_bot.t2                 0.000359454
ov_flag                            0.000175273
xdut.xov.xr_hyst.t1                0.000184351
xdut.xov.xr_hyst.t2                    1.11417
xdut.xov.xr_bias.t1                    2.19992
xdut.xov.xr_bias.t2                   0.833397
xdut.xov.bias_n                       0.833317
xdut.xov.tail                         0.506334
xdut.xov.out_p                         1.21891
xdut.xov.out_n                         2.18016
xdut.xov.en_bar                    1.15106e-06
xdut.xov.nor_mid                      0.191426
