Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Warning: singular matrix:  check node xdut.xsu.xr_top.t2

Warning: Dynamic gmin stepping failed
Note: Starting true gmin stepping
Note: True gmin stepping completed

Note: No compatibility mode selected!


Circuit: PVT DC Regulation

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
bvdd                                         7
avbg                                     1.226
ibias                                   1.0384
svdd                                       2.2
en                                         2.2
en_ret                                       0
pvdd                                   5.00102
xdut.gate                              5.55524
xdut.xrss.t1                             1.226
xdut.xrss.t2                             1.226
xdut.vref_ss                             1.226
xdut.xea.ibias_en                      1.03832
xdut.ea_en                                   7
xdut.ea_out                            5.55524
xdut.xea.pb_tail                       5.65177
xdut.xea.tail_s                        3.28293
xdut.xea.d1                            1.06022
xdut.xea.d2                            0.96083
xdut.vfb                               1.22625
xdut.xea.comp_mid                      5.55524
xdut.xfb.xr_top.t1                     5.00057
xdut.xfb.xr_top.t2                      1.2267
xdut.xfb.xr_bot.t1                     1.22581
xdut.xfb.xr_bot.t2                 0.000446911
xdut.ibias_ilim                        1.13613
xdut.xilim.xrcas_top.t1                6.99962
xdut.xilim.xrcas_top.t2                3.99735
xdut.xilim.cas_bias                    3.99697
xdut.xilim.xrcas_bot.t1                 3.9966
xdut.xilim.xrcas_bot.t2            0.000376331
xdut.xilim.cas_mid                     5.06615
xdut.xilim.sense_out                 0.0278557
xdut.xilim.det_n                             7
xdut.xilim.xrpu.t1                           7
xdut.xilim.xrpu.t2                           7
xdut.ilim_flag                     7.19799e-07
xdut.xuv.xr_top.t1                     5.00063
xdut.xuv.xr_top.t2                     1.46489
xdut.xuv.mid_uv                        1.46451
xdut.xuv.xr_bot.t1                     1.46411
xdut.xuv.xr_bot.t2                 0.000399965
xdut.xuv.out_n                         2.18433
xdut.xuv.xr_hyst.t1                    2.18431
xdut.xuv.xr_hyst.t2                    1.46453
xdut.xuv.xr_bias.t1                    2.19991
xdut.xuv.xr_bias.t2                   0.831731
xdut.xuv.bias_n                       0.831638
xdut.xuv.tail                         0.658295
xdut.xuv.out_p                         1.04337
xdut.xuv.en_bar                    7.14454e-07
xdut.uvov_en                           5.00101
xdut.xuv.nor_mid                      0.303424
uv_flag                            1.25432e-07
xdut.xov.xr_top.t1                     5.00059
xdut.xov.xr_top.t2                     1.11448
xdut.xov.mid_ov                        1.11406
xdut.xov.xr_bot.t1                     1.11364
xdut.xov.xr_bot.t2                 0.000415539
ov_flag                            8.26581e-05
xdut.xov.xr_hyst.t1                9.31546e-05
xdut.xov.xr_hyst.t2                    1.11405
xdut.xov.xr_bias.t1                    2.19991
xdut.xov.xr_bias.t2                   0.831731
xdut.xov.bias_n                       0.831638
xdut.xov.tail                         0.463318
xdut.xov.out_p                         1.05338
xdut.xov.out_n                         2.19033
xdut.xov.en_bar                    7.14454e-07
xdut.xov.nor_mid                      0.303336
xdut.xzc.n3                            3.87168
xdut.xzc.n2                            2.64982
xdut.xzc.n1                            1.52049
xdut.xzc.ns                           0.843107
xdut.xzc.xrstack.t1                    0.84298
xdut.xzc.xrstack.t2                   0.401708
xdut.xzc.vg                           0.401582
xdut.xzc.xrpd.t1                      0.401538
xdut.xzc.xrpd.t2                   4.37564e-05
xdut.xzc.nf6                           3.87837
xdut.xzc.nf5                           2.88362
xdut.xzc.nf4                           2.02448
xdut.xzc.nf3                           1.30756
xdut.xzc.nf2                          0.736186
xdut.xzc.nf1                          0.306113
xdut.xmc.xrtop.t1                      6.99862
xdut.xmc.xrtop.t2                      5.64343
xdut.xmc.tap1                          5.64205
xdut.xmc.xr12.t1                       5.64067
xdut.xmc.xr12.t2                       3.37039
xdut.xmc.tap2                          3.36902
xdut.xmc.xr23.t1                       3.36764
xdut.xmc.xr23.t2                       3.15001
xdut.xmc.tap3                          3.14863
xdut.xmc.xr34.t1                       3.14725
xdut.xmc.xr34.t2                       2.52683
xdut.xmc.tap4                          2.52545
xdut.xmc.xrbot.t1                      2.52407
xdut.xmc.xrbot.t2                   0.00137893
xdut.xmc.c1inv                     1.40719e-06
xdut.xmc.comp1                         5.00101
xdut.xmc.c2inv                       0.0320571
xdut.xmc.comp2                         5.00101
xdut.xmc.c3inv                       0.0585236
xdut.xmc.comp3                         5.00101
xdut.xmc.c4inv                        0.203042
xdut.xmc.comp4                         5.00101
xdut.xmc.comp1b                    1.53402e-06
xdut.xmc.comp2b                    1.53402e-06
xdut.xmc.comp3b                    1.53402e-06
xdut.xmc.comp4b                    1.53402e-06
xdut.pass_off                      1.53402e-06
