 time            v(vin)          v(vout)         v(xenv.rect)   
 1.00000000e-07  9.00031416e-01  9.02226404e-01  1.66113049e+00 
 1.02319864e-07  9.00032145e-01  9.02288052e-01  1.66844914e+00 
 1.06959592e-07  9.00033602e-01  9.02425042e-01  1.68265905e+00 
 1.16239048e-07  9.00036518e-01  9.02719310e-01  1.70747708e+00 
 1.29383282e-07  9.00040647e-01  9.03142793e-01  1.73542489e+00 
 1.48183616e-07  9.00046553e-01  9.03745510e-01  1.76296103e+00 
 1.85784283e-07  9.00058366e-01  9.04935331e-01  1.79145153e+00 
 2.23219290e-07  9.00070126e-01  9.06098741e-01  1.80087599e+00 
 2.69962978e-07  9.00084811e-01  9.07521689e-01  1.80291113e+00 
 3.20804426e-07  9.00100784e-01  9.09032647e-01  1.80193938e+00 
 3.82870327e-07  9.00120282e-01  9.10827262e-01  1.80062046e+00 
 5.01212768e-07  9.00157460e-01  9.14107221e-01  1.79937572e+00 
 7.37897652e-07  9.00231817e-01  9.20172265e-01  1.79770162e+00 
 1.21126742e-06  9.00380527e-01  9.30705643e-01  1.79161018e+00 
 1.88380010e-06  9.00591799e-01  9.42934503e-01  1.78012530e+00 
 2.42447092e-06  9.00761641e-01  9.50990737e-01  1.76645480e+00 
 2.82665122e-06  9.00887972e-01  9.56182596e-01  1.69756583e+00 
 3.12443857e-06  9.00981508e-01  9.59669712e-01  1.60598760e+00 
 3.29174217e-06  9.01034058e-01  9.61512700e-01  1.54988273e+00 
 3.43377293e-06  9.01078668e-01  9.63019400e-01  1.50405038e+00 
 3.54363716e-06  9.01113174e-01  9.64151190e-01  1.47196134e+00 
 3.61321313e-06  9.01135027e-01  9.64853493e-01  1.45450915e+00 
 3.66376152e-06  9.01150903e-01  9.65357003e-01  1.44790547e+00 
 3.72580212e-06  9.01170388e-01  9.65967374e-01  1.44014580e+00 
 3.78444081e-06  9.01188805e-01  9.66536827e-01  1.43208411e+00 
 3.86088302e-06  9.01212813e-01  9.67268659e-01  1.42293198e+00 
 4.01376745e-06  9.01260829e-01  9.68698020e-01  1.40923977e+00 
 4.31686620e-06  9.01356017e-01  9.71406238e-01  1.39200112e+00 
 4.80774118e-06  9.01510167e-01  9.75477654e-01  1.37684119e+00 
 5.43412477e-06  9.01706849e-01  9.80188626e-01  1.36561495e+00 
 6.36247718e-06  9.01998299e-01  9.86363574e-01  1.35219798e+00 
 7.73534040e-06  9.02429172e-01  9.94147965e-01  1.33227915e+00 
